work_ref,is_open,days_open,p_complete_horizon,hazard,hazard_pct,rs_exposure
MP3017400-W101,True,1068.0,0.1147970096982015,0.2084364206633642,0.011942111606374227,442588.2171060447
MP3017400-W103,True,1058.0,0.11793644655787627,0.20978475322333828,0.014223404051804948,87588.91085680289
MP3017400-W104,True,1056.0,0.16124777434875526,0.29368873698290865,0.03788284582863046,419376.1128256224
MP3018938-W105,True,1052.0,0.26464091863617445,0.515553539168494,0.14738966579304805,734620.7808461363
MP3017406-W106,True,1050.0,0.122890102935863,0.2197327639948666,0.018573163966101047,877109.897064137
MP3019123-W107,True,1043.0,0.5005175271386951,1.0538979798383532,0.52088315191399,124870.61821532622
MP3019123-W109,True,1043.0,0.5005175271386951,1.0538979798383532,0.52088315191399,124870.61821532622
MP3019123-W110,True,1043.0,0.42004800051694813,0.827122362498798,0.3703967631473227,144987.99987076296
MP3018938-W112,True,1042.0,0.28947827058010034,0.5164159881742825,0.1481620530675492,355260.8647099498
MP3018938-W113,True,1042.0,0.28947827058010034,0.5164159881742825,0.1481620530675492,355260.8647099498
MP3017400-W119,True,1028.0,0.12932717577333908,0.20843639571935407,0.011480592275170738,435336.41211333044
MP3017400-W120,True,1028.0,0.12932717577333908,0.20843639571935407,0.011480592275170738,435336.41211333044
MP3019056-W121,True,1024.0,0.16403981957310199,0.27419793948390503,0.029640062747498707,835960.1804268981
MP3018948-W124,True,1020.0,0.294034556361612,0.5393902633073491,0.1622969793201079,197670.32421874863
MP3019121-W127,True,1019.0,0.133977875262267,0.22197588339760643,0.02161727851854686,866022.124737733
MP3018948-W131,True,1016.0,0.3064795376041176,0.5646890514239665,0.1719912765672527,346760.2311979412
MP3018948-W132,True,1016.0,0.30647972188746064,0.5646894614253872,0.17203910240468312,346697.02871096146
MP3018948-W133,True,1016.0,0.2471000690380123,0.4379313307751534,0.09324603523807702,542045.7878964973
MP3019126-W134,True,1016.0,0.4005287716581222,0.7895508631288005,0.32084919556941444,1498494.632658822
MP3019123-W135,True,1015.0,0.4551367434032242,0.9353798265583645,0.44160943508120826,135371.27610146895
MP3017508-W148,True,1014.0,0.25437313064748246,0.4514377327729988,0.09950404606584662,372813.43467625877
MP3017288-W149,True,1014.0,0.17829060197862123,0.30200710760178473,0.04211304114935052,2054273.4950534469
MP3019067-W153,True,1011.0,0.21507619135790068,0.3718694443181858,0.0741778738545712,981154.7608026242
MP3018977-W157,True,1008.0,0.3769176484365606,0.7253504782550524,0.27168901727469247,641774.8221103426
MP3017447-W162,True,1005.0,0.41649353844774784,0.8405605948093549,0.38048801484513994,58350.646155225215
MP3017447-W165,True,1005.0,0.42947747757111154,0.8756729794568068,0.4064765749048266,50947.661252899736
MP3019056-W168,True,1002.0,0.15964451998716334,0.2749571375909874,0.029831366097220362,420177.7400064183
MP3018949-W174,True,999.0,0.2753070126318148,0.5047922462600911,0.145359458994127,362346.4936840926
MP3018949-W175,True,999.0,0.2753209360756683,0.5048223654926387,0.145534023300748,356960.2392706555
MP3017208-W191,True,995.0,0.5201760095500108,1.1556188537657865,0.5863710711074551,455832.7909274898
MP3017208-W192,True,995.0,0.5201760095500108,1.1556188537657865,0.5863710711074551,455832.7909274898
MP3017447-W193,True,995.0,0.45167745012139093,0.9456184841883011,0.442678342547778,169979.99046236882
MP3017447-W194,True,995.0,0.48680015522548614,1.0497943673403354,0.5198285921986494,127273.56150407944
MP3017447-W196,True,995.0,0.45167745012139093,0.9456184841883011,0.442678342547778,169979.99046236882
MP3017373-W198,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3017373-W199,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3017373-W200,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3017373-W201,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3018368-W201,True,994.0,0.14885884085711287,0.2533379006993664,0.026992902645725327,851141.1591428871
MP3017373-W202,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3018358-W202,True,992.0,0.6849701765257862,1.8092758329509362,0.814031622443709,157042.3670018956
MP3017373-W203,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3017373-W204,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3018358-W204,True,992.0,0.6849701765257862,1.8092758329509362,0.814031622443709,157042.3670018956
MP3017373-W205,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3018358-W205,True,992.0,0.6849701765257862,1.8092758329509362,0.814031622443709,157042.3670018956
MP3017373-W206,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3018358-W206,True,992.0,0.6849701765257862,1.8092758329509362,0.814031622443709,157042.3670018956
MP3017373-W207,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3017511-W207,True,984.0,0.44267300335369864,0.9611468047648035,0.45025156390488397,278397.6533457504
MP3017373-W208,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3017373-W209,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3017373-W210,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3017373-W211,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3017373-W212,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3017373-W213,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3017373-W214,False,767.0,,0.7456719259763354,0.2976512731237924,0.0
MP3017373-W215,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3017373-W216,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3017373-W217,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3017373-W218,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3018963-W218,True,973.0,0.4064593762773081,0.8817400196853852,0.4100635127121076,592798.1044024148
MP3017373-W219,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3018936-W219,True,973.0,0.2840276383635565,0.5647496357122814,0.1721204063283148,348486.6595240294
MP3017373-W220,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3018936-W220,True,973.0,0.28400264381229523,0.5646906287627658,0.17204388498842615,357748.07901918667
MP3017373-W221,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
MP3017373-W222,True,1126.0,0.35439950484462823,0.7456719259763354,0.2976512731237924,64560.049515537175
