work_ref,audit_value,cost_days,travel_cluster,cum_days,rs_exposure,priority,visit_order,state_name,recommended_amount,work_description
MP3042555-W1231,8130398.358694634,0.25,"Rajasthan, Sitting Rajya Sabha",52.25,3822385.6777494,0.7090160477545678,110,Rajasthan,4969990.0,"For installing LED high mast lights at various places in district Pilibhit, Uttar Pradesh"
MP3042555-W1122,7413089.298251993,0.25,"Rajasthan, Sitting Rajya Sabha",52.5,3600248.0286826766,0.6863498698971977,111,Rajasthan,4860000.0,"Regarding installation of 20 cm LED high mast lights at various places in Shahjahanpur district, Uttar Pradesh."
MP3017307-W269621,4201820.059130383,0.25,"Tamil Nadu, Sitting Rajya Sabha",52.75,9214665.168814098,0.2279963504995779,112,Tamil Nadu,10300000.0,Construction of Uzhavar Santhai at S. Pudur
MP3017455-W51808,16792008.22423438,1.0,"Tamil Nadu, CHENNAI CENTRAL",53.75,13993340.186861983,0.6,113,Tamil Nadu,22500000.0,"Construction of Community Center in Vellalar street dn-112, Zone-9."
MP3019002-W178906,4194306.351378392,0.25,"Gujarat, AHMEDABAD EAST",54.0,5035179.503756711,0.4165001812,114,Gujarat,9424000.0,Installation and Fixing of Gas Based Cremation Furnance System at Dahegaam Nagarpalika at Dahegam
MP3017345-W14681,4176072.191021504,0.25,"Uttar Pradesh, Sitting Rajya Sabha",54.25,0.0,0.23770902726670673,115,Uttar Pradesh,8784000.0,"36 ????????? ?????? ?? ??? ?? ??? ???? ??? ????? ????, ???? ?????? ???"
MP3017246-W243539,4162551.4346123855,0.25,"Kerala, Sitting Rajya Sabha",54.5,9340668.270892184,0.2228187167070218,116,Kerala,14000000.0,"New Road Madhura Company Palam,Palluruthi Approach Road,Ward 14,Kochi Corporation ,EKM District"
MP3017246-W243541,4145245.649397483,0.25,"Kerala, Sitting Rajya Sabha",54.75,11820484.822588926,0.1753416087247084,117,Kerala,15000000.0,"Construction of New Building in Govt. LPS Kolenchery, Kunnathunadu Assembly Constituency ,Ernakulam District"
MP3044300-W271429,4118855.600806133,0.25,"Telangana, Sitting Rajya Sabha",55.0,3830240.628536815,0.5376758277429128,118,Telangana,4000000.0,"Providing Infrastructure Facilities at Vivekananda Government Degree College, Vidyanagar, Hyderabad."
MP3017338-W211500,4093808.8657210977,0.25,"Uttar Pradesh, Sitting Rajya Sabha",55.25,8913938.659231475,0.2296296296296283,119,Uttar Pradesh,13788600.0,Letter as per attached.
MP3017511-W144004,4087492.40172277,0.25,"Punjab, Sitting Rajya Sabha",55.5,0.0,0.408151624563591,120,Punjab,5007321.0,"Installation and functioning of street lights at Gram Panchayat – Jhok Harihar, Block- Ferozepur,  District- Ferozepur , Punjab"
MP3019258-W151554,4058978.892864182,0.25,"Punjab, Sitting Rajya Sabha",55.75,0.0,0.22580848608526172,121,Punjab,8987658.0,"(i)   Sewer Suction Machine having capacity of 6000 ltr capacity mounted on LPT truck chassis
                 And 
 
(ii)  Sewer Jetting Machine having 6000 ltr capacity mounted on LPT truck chassis for sanitation purpose in Cantonment Board , Jalandhar near Cant General Hospital , Jalandhar.

Each machine having cost approx Rs. 4500000/-."
MP3020007-W211190,16225059.42248457,1.0,"Delhi, NORTH EAST DELHI",56.75,17383992.238376353,0.4666666666666659,122,Delhi,25217575.0,Supply Installation Testing and Commissioning of cctv Surveillance system cum Traffic Monitoring ANPR Camera System
MP3020007-W128899,8883683.344869973,0.25,"Delhi, NORTH EAST DELHI",57.0,9156667.66055986,0.48509368660032837,123,Delhi,20000000.0,Construction of Approach Road
MP3020007-W277012,7462802.018562814,0.25,"Delhi, NORTH EAST DELHI",57.25,8780055.09383767,0.2833240391168169,124,Delhi,10000000.0,Provision of 1000 Precast RCC Benches with Back rest
MP3044300-W271426,4052590.0860984325,0.25,"Telangana, Sitting Rajya Sabha",57.5,2329535.7248548823,0.43491392328302747,125,Telangana,2490000.0,"Digital Class Rooms, Safe Drinking Water RO, Solar and Allied works at GPS MUSHEERABAD, Musheerabad, Hyderabad."
MP3019091-W128803,4049912.6181647824,0.25,"Maharashtra, THANE",57.75,3374927.1818039855,0.6,126,Maharashtra,5800000.0,Carrying out electrical and civil works in the vicinity of Shree Chhatrapati Shivaji Maharaj Statue near Masunda Lake in Thane Municipal Corporation area.
MP3017304-W176337,3976654.4999999995,0.25,"Tamil Nadu, Sitting Rajya Sabha",58.0,,0.5249999999999999,127,Tamil Nadu,3787290.0,Construction of Toilet in FF and SF of Patient attenders waiting hall and RO unit for Dialysis ward in Govt. District Head Quarters Hospital at Kumbakonam in Thanjavur District.
MP3019052-W117633,3902039.1666667047,0.25,"Madhya Pradesh, GUNA",58.25,0.0,0.18333333333333512,128,Madhya Pradesh,10641925.0,G.I. Coated Water Tanker capacity 5000 Litre with firefighting pump with 900*20 tyre (Along with tera fill water filter capacity 30 litre x 11 nos for each tanker) Drinking water plant.
MP3050536-W208561,3853736.5916437297,0.25,"Andhra Pradesh, Sitting Rajya Sabha",58.5,7093902.228126437,0.2716231819748054,129,Andhra Pradesh,9000000.0,"Construction of Multi Purpose Community Hall Survey Number 70 2B1 and extent of 1.95 cent in Kallur Gram Panchayat of Kallur Mandal, Kurnool District"
MP3017325-W133372,3782787.002773319,0.25,"Uttar Pradesh, Sitting Rajya Sabha",58.75,3152322.5023110993,0.6,130,Uttar Pradesh,9100000.0,"BLOCK-TUNDLA,  GRAM  PANCHAYAT  ANWARA  KE  MAJRA  NAGLA  LALLU  MEIN  KABRISTAN SE  MUNNESH  PRADHAN  KE  PLOT  TAK  RCC  & NALI NIRMAN. Length= 1Km. Cost=91 Lac."
MP3017330-W220191,3742616.0656103636,0.25,"Uttar Pradesh, Sitting Rajya Sabha",59.0,5257556.115079211,0.3559273532883611,131,Uttar Pradesh,9000000.0,This money is being released for the construction of a multi-purpose indoor stadium.
MP3017356-W263548,3702084.461197237,0.25,"West Bengal, Sitting Rajya Sabha",59.25,7540403.483884063,0.2454831806487292,132,West Bengal,8000000.0,"Development of Vidyasagar Memorial Hall, Medinipur Town"
MP3044073-W1842,3685037.1882866705,0.25,"Karnataka, Nominated Rajya Sabha",59.5,4749681.146678763,0.3879246916251894,133,Karnataka,5000000.0,"Construction of additional rooms (Rooms for artists) in the existing building Delhi Karnataka Sangha, cultural and community complex R.K Puram New Delhi"
MP3045893-W194463,3681618.34302981,0.25,"Delhi, NEW DELHI",59.75,3068015.2858581753,0.6,134,Delhi,4638153.0,Provision and Laying of Synthetic Track
MP3017253-W143819,3647915.0635261154,0.25,"Kerala, Sitting Rajya Sabha",60.0,5628315.9264089335,0.3240680792641304,135,Kerala,15380000.0,"Construction of Artificial Football turf, Municipal Stadium Ground, Aluva, Aluva Municipality"
MP3017250-W101445,3620422.0499999993,0.25,"Kerala, Sitting Rajya Sabha",60.25,,0.5249999999999999,136,Kerala,3448021.0,"Construction of Culvert in Moolankode Bhaskaran Road – Valathode Palam Road and construction of approach Road, Ayyankunnu Grama Panchayat, Kannur District"
MP3018356-W86316,14430586.69711691,1.0,"Bihar, SARAN",61.25,7463398.36311961,0.6445047325190657,137,Bihar,65000000.0,Construction of Outdoor Gym in 70 locations in Various Blocks in the District of Saran
MP3017368-W268119,3593366.3280229704,0.25,"Odisha, Sitting Rajya Sabha",61.5,4748068.684031267,0.37840294308591216,138,Odisha,5000000.0,"Construction of Ladies Hostel, Saraswati Vidya Mandir, Gatiroupatna, Cuttack."
MP3017264-W225159,14338052.067045636,1.0,"Maharashtra, Sitting Rajya Sabha",62.5,14950481.426693358,0.4795180722891552,139,Maharashtra,18000000.0,As per letter attached
MP3017264-W174294,7061285.846306338,0.25,"Maharashtra, Sitting Rajya Sabha",62.75,6800090.319151786,0.5192052983780907,140,Maharashtra,9999175.0,Smart Boards
MP3042560-W226353,5288963.603278428,0.25,"Maharashtra, Sitting Rajya Sabha",63.0,4700047.92445849,0.37509997687153296,141,Maharashtra,5000000.0,Construction of Public utility building of Saraswati kanya prashla Mauli Vidyapeeth trust Kaij
MP3017253-W229641,3557983.8488935307,0.25,"Kerala, Sitting Rajya Sabha",63.25,5593520.708071391,0.3180451127819548,142,Kerala,10000000.0,"Construction of CHC, Varapuzha Phase 1"
MP3017304-W282944,3534476.090341808,0.25,"Tamil Nadu, Sitting Rajya Sabha",63.5,13915545.308659453,0.12699739794395093,143,Tamil Nadu,15000000.0,Construction of Nurses Staying and Rest Hall in Second Floor of Patient Attenders Waiting hall building in Government District Head Quarters Hospital at Kumbakonam in Thanjavur District
MP3042538-W153603,14069689.809720846,1.0,"West Bengal, BARRACKPUR",64.5,13310501.448812103,0.5285183981921469,144,West Bengal,20000000.0,Development of Bhatpara State General Hospital.
MP3042538-W153601,6284217.23542461,0.25,"West Bengal, BARRACKPUR",64.75,14346027.312395591,0.2190229078260144,145,West Bengal,20000000.0,Development of Naihati State General Hospital.
MP3017489-W5736,5249071.071845427,0.25,"West Bengal, BARRACKPUR",65.0,0.0,0.28789687145216347,146,West Bengal,9116235.0,Construction of by 9 no of PCC road at dumber line
MP3017308-W178253,3512758.1303115315,0.25,"Tamil Nadu, Sitting Rajya Sabha",65.25,0.0,0.08061474779826105,147,Tamil Nadu,21787317.0,Construction of new cocoon marketing godown for sericulture office at rasipuram
MP3019254-W222781,3462923.0769231287,0.25,"Jammu And Kashmir, Nominated Rajya Sabha",65.5,0.0,0.13846153846154052,148,Jammu And Kashmir,12505000.0,S I OF LED SEMI HIGH MAST LIGHT  AT FOURTY ONE DIFFERENT PLACES
MP3019436-W210650,3449992.4082331965,0.25,"Lakshadweep, LAKSHADWEEP(ST)",65.75,2848285.6732980604,0.4037507474029005,149,Lakshadweep,3171000.0,Battery operated vehicle for transportation of differently abled and senior citizen at jetty-14 nos
MP3017259-W134439,3378687.3550042678,0.25,"Maharashtra, Sitting Rajya Sabha",66.0,1495911.2818751584,0.7528715987240918,150,Maharashtra,2300000.0,Purchase of 16 tricycles (manual or motorized)
MP3042485-W177536,13019621.651642296,1.0,"Tripura, TRIPURA WEST",67.0,6236165.788997179,0.6959202225729552,151,Tripura,11517641.0,"Construction of indoor sports complex with facilities for badminton court, table tennis, squash, indoor gym and other amenities."
MP3042485-W194520,6913082.172989704,0.25,"Tripura, TRIPURA WEST",67.25,7400477.777682099,0.4670699906590996,152,Tripura,11400000.0,Installation of water treatment plants in 19 high schools under Takarjala AC and Golaghati AC at the rate of Rs six lakhs each including maintenance for three years as per detail in letter No 4502 dated 5 April 2025 from DM and  Collector West Tripura  Agartala
MP3042485-W221826,4674379.28031628,0.25,"Tripura, TRIPURA WEST",67.5,7980603.063273795,0.2928587754118146,153,Tripura,10000000.0,"Construction of RCC single storied framed structure building at Medical Service Centre Niramay under Ramkrishna Mission, Viveknagar, Dukli  Agartala, West Tripura"
MP3042485-W221829,3446791.406515263,0.25,"Tripura, TRIPURA WEST",67.75,3185478.9653430786,0.36067746211429785,154,Tripura,3750000.0,Installation of three open gymnasium in Mohanpur Assembly Constituency.
MP3017324-W15726,3253469.69633949,0.25,"Uttar Pradesh, Sitting Rajya Sabha",68.0,0.0,0.13671983541272503,155,Uttar Pradesh,11898309.0,Construction of Class room in AD gov. kanya inter college Ground floor in gkp
MP3019173-W128166,3193939.5642930586,0.25,"Telangana, HYDERABAD",68.25,1404213.4398031677,0.7581799826529604,156,Telangana,2500000.0,Laying of VDCC road at Nasheman Nagar Yakutpura in Yakutpura Constituency
MP3019085-W131732,12723035.114364844,1.0,"Maharashtra, BHIWANDI",69.25,4819907.38224117,0.6599211408730878,157,Maharashtra,7499000.0,kulgaon badlapur nagarparishadh ward no. 36 garden lights and benches fitting
MP3042399-W282962,11002245.826878754,0.25,"Maharashtra, BHIWANDI",69.5,9430523.767363051,0.3888877612840934,158,Maharashtra,10000000.0,"RETAINING WALL WORK AT AAGRI, KOLI, KUNBI, SOCIAL AND PILGRIM HALL RESERVE PLOT NO.129, KHADAKPADA"
MP3019085-W131481,4986410.4715672145,0.25,"Maharashtra, BHIWANDI",69.75,4155342.059639346,0.6,159,Maharashtra,5000000.0,Construction of Parking Plaza at Badlapur Railway Station.
MP3018418-W280615,12710532.495189559,1.0,"West Bengal, JANGIPUR",70.75,6503777.91569661,0.6514435486546567,160,West Bengal,7165000.0,Construction of indoor badminton court  at Jangipur
MP3018946-W98776,12244838.798594056,1.0,"Andhra Pradesh, TIRUPATI(SC)",71.75,0.0,0.8459296740004604,161,Andhra Pradesh,3618752.0,Construction of RCC Single Lane Road Bridge across Neredu Vagu near Mannuru Village in Balayapalli Mandal.
MP3017368-W155565,3047190.148226784,0.25,"Odisha, Sitting Rajya Sabha",72.0,2991562.4679144397,0.5092974291710387,162,Odisha,5000000.0,Development of turf and training facilities for multipurpose sports in Football Play Ground.
MP3017259-W165293,3036183.833862937,0.25,"Maharashtra, Sitting Rajya Sabha",72.25,1646156.5315168232,0.6148025771411698,163,Maharashtra,2495000.0,Construction of road at durgwada tq Morshi from nagbaba mandir to house of shri Rahul choudhary.
MP3045278-W140271,12144311.421686765,1.0,"Nagaland, NAGALAND",73.25,0.0,0.3590361445783138,164,Nagaland,16912380.0,Purchase of Community Ambulances 6 (six) Nos.
MP3045278-W193451,11814432.989690749,0.25,"Nagaland, NAGALAND",73.5,0.0,0.39381443298969165,165,Nagaland,15000000.0,Clean and green Nagaland
MP3045278-W193464,6862875.241929146,0.25,"Nagaland, NAGALAND",73.75,0.0,0.3812708467738415,166,Nagaland,9000000.0,Construction of flood control embankment at Kayong
MP3045278-W140274,4915481.171548139,0.25,"Nagaland, NAGALAND",74.0,0.0,0.22343096234309723,167,Nagaland,11000000.0,Construction of river embankment & water conservation plant at Kikha Kohima
MP3017264-W274581,3034867.31083964,0.25,"Maharashtra, Sitting Rajya Sabha",74.25,2374294.668866199,0.42607282500012034,168,Maharashtra,2500000.0,Construction of Cultural Center near Kohali Samaj Bhawan
MP3042277-W163131,12076575.591545165,1.0,"Andhra Pradesh, AMALAPURAM(SC)",75.25,0.0,0.5211268365348065,169,Andhra Pradesh,11586983.0,"Formation of BT Road from KNF Road to Sathirevu puntha SC Locality via Lockpeet, Luthern High School, Jayapet in Sakhinetipalli village"
MP3018977-W7991,12000000.0,1.0,"Gujarat, VADODARA",76.25,0.0,0.6,170,Gujarat,10000000.0,Providing CCTV Cameras in Public Areas of Vadodara City
MP3043535-W263822,2998344.80680926,0.25,"West Bengal, Sitting Rajya Sabha",76.5,5665317.124792843,0.2646228570054582,171,West Bengal,6000000.0,Development of Gurur Hospital of painting and cleaning of the buildings and repairing of Guard Wall and Repairing of Doctors quarters and staff quarters and appoinment of doctors and nurses and other staff
MP3042485-W197844,2993869.063959329,0.25,"Tripura, TRIPURA WEST",76.75,3339607.5855775555,0.29882443642866563,172,Tripura,4848844.0,"Construction of Market Shed at Murabari Bazar of Balurbandh VC, Hezamara RD Block, West Tripura District."
MP3017365-W271035,2942676.4731264994,0.25,"Odisha, Sitting Rajya Sabha",77.0,1906487.8699843567,0.5145021760442051,173,Odisha,2000000.0,"Construction of a Community Centre Building at Plot no 993 by 2330, Khata no 149, Relisahi mouza, Ward no 1, Utkal Baptist Churches Association, Near old Court, Paralakhemundi Municipality"
MP3018946-W51617,2895195.59989355,0.25,"Andhra Pradesh, TIRUPATI(SC)",77.25,0.0,0.41874139611728567,174,Andhra Pradesh,3457021.0,Construction of 40KL OHSR in Varagali ST Colony of Varagali GP in Chillakur Mandal.
MP3020008-W161630,2861907.481329131,0.25,"Delhi, EAST DELHI",77.5,1543500.0,0.6180558214726555,175,Delhi,1543500.0,"TPD Aerobic Drum Compost Plant along with Sieving Trommel, Shredding with Screw Conveyor at Vishwas Nagar"
MP3020008-W161634,2861907.481329131,0.25,"Delhi, EAST DELHI",77.75,1543500.0,0.6180558214726555,176,Delhi,1543500.0,"TPD Aerobic Drum Compost Plant along with Sieving Trommel, Shredding with Screw Conveyor at New Ashok Nagar"
MP3017308-W258718,2849190.8995073657,0.25,"Tamil Nadu, Sitting Rajya Sabha",78.0,7776619.159022535,0.18318956099333328,177,Tamil Nadu,10000000.0,"Construction of a compound wall and entrance arch in residential buildings built by the Tamil Nadu Urban Habitat Development Board in the Guavathoppu scheme area, Ward No. 63, Zone 5 of the Greater Chennai Corporation."
MP3042485-W180904,2809855.8658833667,0.25,"Tripura, TRIPURA WEST",78.25,4797288.150119764,0.2928587754118146,178,Tripura,6683300.0,"Construction of community guest house at Sri Sri Santikali Sevashram, Chintaram Kobra Para, Champaknagar, Jhirania, Tripura West Pin 799045"
MP3017255-W252090,2802248.3763247747,0.25,"Madhya Pradesh, Sitting Rajya Sabha",78.5,4660826.746322545,0.20041139543435338,179,Madhya Pradesh,5000000.0,"Construction of Rooms at Narmadanchal Vidyapeeth, Bargaon"
MP3017250-W235382,2768388.2834625663,0.25,"Kerala, Sitting Rajya Sabha",78.75,9935327.655961465,0.13932043206453582,180,Kerala,11000000.0,"Construction of a new building for Government Medical College, Idukki, Vazhathope Grama Panchayat, Idukki District."
MP3019259-W281554,2762160.659879808,0.25,"Punjab, Sitting Rajya Sabha",79.0,9668281.65283376,0.14284651394439996,181,Punjab,11832976.0,"Grant of rupees 1,18,32,976 for the capital expenditure of Multi Skill Development Center, Jalandhar for setting up Skill Development labs which includes Infrastructure Cost, Training Equipment, IT Equipment etc. The detailed breakup of the cost is attached herewith in the annexture"
MP3017323-W207135,2755612.3660212997,0.25,"Uttar Pradesh, Sitting Rajya Sabha",79.25,5926635.5789317945,0.2324769533508222,182,Uttar Pradesh,7359000.0,Interlocking with Drainage
MP3042298-W137519,2745171.3443472385,0.25,"Assam, Diphu (ST)",79.5,3409036.3099736846,0.4026315789473697,183,Assam,5000000.0,Installation of Solar Light under Singhason MAC Constituency
MP3019258-W259136,2741923.72624813,0.25,"Punjab, Sitting Rajya Sabha",79.75,4128781.058904075,0.33205002725137645,184,Punjab,5000000.0,"Construction of Crematorium structures in Banga Road, Phagwara, Kapurthala"
MP3017250-W132664,2716921.185726595,0.25,"Kerala, Sitting Rajya Sabha",80.0,7892581.677620269,0.17211866133932663,185,Kerala,15000000.0,"Construction of Modular Operation Theatre and installation of equipments thereto in Government Medical College, Idukki, Vazhathope Grama Panchayat, Idukki District."
MP3050536-W282198,2653481.9216286195,0.25,"Andhra Pradesh, Sitting Rajya Sabha",80.25,2339987.9658643715,0.37799082165342757,186,Andhra Pradesh,2500000.0,Construction of Community Hall
MP3017222-W224571,10471088.48106186,1.0,"Assam, Sitting Rajya Sabha",81.25,4811765.372888533,0.7253809270682152,187,Assam,5000000.0,Development of Swargodeo Chaulung Statue and Park at Tipam
MP3017222-W267536,5546333.771692657,0.25,"Assam, Sitting Rajya Sabha",81.5,4829416.936003038,0.5742239534492294,188,Assam,5000000.0,"Construction of Auditorium at Tai Ahom Cultural Preservation and Tai Bhasa Prasar Samittee, Ward No. 9"
MP3017224-W243464,5185697.840143173,0.25,"Assam, Sitting Rajya Sabha",81.75,4792323.754826687,0.5410421024790208,189,Assam,5000000.0,Constrution Of Aidew Handikoi Sanskritik Prakalpa at Bokakhat Town
MP3056512-W256047,3903196.366866161,0.25,"Assam, Sitting Rajya Sabha",82.0,3383934.2621260593,0.5767246146817668,190,Assam,3500000.0,"Construction of a Multi-purpose Community Hall at Madhav Dham, Shrigauri"
MP3019246-W244806,3783330.8699213886,0.25,"Assam, Sitting Rajya Sabha",82.25,4283733.203446716,0.44159272884656997,191,Assam,4500000.0,"Construction of irrigation canal at Chetonaguri irrigation canal under Dangtal VCDC, Sidli Dev. Block,  Chirang."
MP3019246-W256867,3528217.0207305313,0.25,"Assam, Sitting Rajya Sabha",82.5,3346844.1266333824,0.5270961071437159,192,Assam,3500000.0,"Construction of boundary wall of science centre at Kajalgaon, chirang."
MP3017224-W267595,2924359.170148464,0.25,"Assam, Sitting Rajya Sabha",82.75,2864991.320005853,0.5103609127413499,193,Assam,3000000.0,Construction and Beautiffication of Borahi Gaon Public Pond at Borahi Gaon Athgaon GP Dergaon LAC South Dergaon Dev.Block Golaghat
MP3017224-W243466,2697474.109442776,0.25,"Assam, Sitting Rajya Sabha",83.0,2407884.190389854,0.5601336891966626,194,Assam,2500000.0,Construction Of College Building of Hemo Prova Borbora Girls College at Golaghat
MP3017224-W243467,2697474.109442776,0.25,"Assam, Sitting Rajya Sabha",83.25,2407884.190389854,0.5601336891966626,195,Assam,2500000.0,"Construction Of Auditorium (Phase-II) for All Assam Maina Parijat at Sarusajai, Lokhora"
MP3047198-W274636,2585172.524381443,0.25,"Madhya Pradesh, Sitting Rajya Sabha",83.5,2154310.436984536,0.6,196,Madhya Pradesh,2498000.0,Construction of Community Hall
MP3044300-W279018,2570705.693219448,0.25,"Telangana, Sitting Rajya Sabha",83.75,2089817.4763428562,0.4100367172923538,197,Telangana,2200000.0,"Laying of UGD line from Pooja Store to Sai Krupa Apt, Dilsukhnagar, Hyderabad"
MP3017360-W269098,2566620.6078029736,0.25,"West Bengal, Sitting Rajya Sabha",84.0,4723400.554804586,0.27169203395128516,198,West Bengal,5000000.0,Construction of Memorial for tourist attraction near Katra Masjid
MP3017359-W269103,2566620.6078029736,0.25,"West Bengal, Sitting Rajya Sabha",84.25,4723400.554804586,0.27169203395128516,199,West Bengal,5000000.0,Construction of Memorial for tourist attraction near Katra Masjid
MP3017242-W259571,2566432.5326238945,0.25,"Karnataka, Sitting Rajya Sabha",84.5,8928197.831747156,0.14372623574144472,200,Karnataka,10500000.0,Construction of 5 class rooms and other works to Govt Higher Primary school at Ballurgi  village in Afzalpur Taluka
MP3018396-W280737,10163251.488430683,1.0,"Tamil Nadu, CHENNAI SOUTH",85.5,4582862.700757323,0.7392214686212902,201,Tamil Nadu,5000000.0,"Providing Compact Shelves in Roja Muthaiah Libraray, Tharamani"
MP3018396-W103765,2714257.168649167,0.25,"Tamil Nadu, CHENNAI SOUTH",85.75,15082663.858180689,0.08997936949900864,202,Tamil Nadu,25000000.0,"Additional Fund for Community Hall, Alwarpet"
MP3017222-W1396,2524950.7340325853,0.25,"Assam, Sitting Rajya Sabha",86.0,2390789.6599870953,0.528057899925461,203,Assam,2500000.0,"Construction of Community Hall at Mathura Kala Kristi Kendra, Naugaona, Chhata, Mathura"
MP3019184-W117738,2516279.729119502,0.25,"Tripura, TRIPURA WEST",86.25,2716377.9580539046,0.308778793915488,204,Tripura,5000000.0,Construction of Shed near Mehar Kali Bari
MP3017356-W263803,2489435.279381782,0.25,"West Bengal, Sitting Rajya Sabha",86.5,4720900.461187415,0.26366106422371294,205,West Bengal,5000000.0,Construction of counselling and training centre for unemployed students.
MP3017250-W132953,2486930.2499999995,0.25,"Kerala, Sitting Rajya Sabha",86.75,,0.5249999999999999,206,Kerala,2368505.0,"Construction of building for BUDS School & Rehabilitation Centre in Ward no.X (Kandakasseri), Payyavoor Grama Panchayath"
MP3044300-W218015,2452207.049450487,0.25,"Telangana, Sitting Rajya Sabha",87.0,4257386.368477143,0.28799442160186595,207,Telangana,4500000.0,"Providing Infrastructure Facilities at Sundaiah Park , Baglingampally Musherabad Assembly    Constituency"
MP3042559-W277770,2415331.998758399,0.25,"Maharashtra, Sitting Rajya Sabha",87.25,2386536.7846741583,0.5060328452234966,208,Maharashtra,2500000.0,To build competition exam centre
MP3018380-W138721,9648746.60931498,1.0,"Madhya Pradesh, RAJGARH",88.25,8040622.17442915,0.6,209,Madhya Pradesh,16177075.0,General workshed with toilets (125×80feet)
MP3042366-W267724,9634051.6574358,1.0,"Karnataka, GULBARGA(SC)",89.25,9544593.327610545,0.5046863353290534,210,Karnataka,10000000.0,Development of Community Sports Complex in filter bed Phase-I area in Ward No. 6 Kalaburagi City (SCP)
MP3017405-W43020,7648659.593264611,0.25,"Karnataka, GULBARGA(SC)",89.5,3751043.4041079087,0.6796917345618446,211,Karnataka,5500000.0,"Construction of Crematoriums or structures on burial/ cremation ground for public convenience and installation of Cremation Machine at Kishan Nagar Tanda, Malkhed Village of Sedam Taluk"
MP3017405-W120536,2389161.8832686823,0.25,"Karnataka, GULBARGA(SC)",89.75,0.0,0.11945809416343411,212,Karnataka,10000000.0,"Supply of Dual Desk Benches to Government Women's First Grade College, Jewargi Colony Ward No. 53"
MP3019643-W40701,9494271.972801212,1.0,"Tamil Nadu, CHENNAI NORTH",90.75,9769145.261528652,0.48593155893536033,213,Tamil Nadu,18460000.0,"Construction of 3 class rooms (3+3) stair case and Toilet in Panchayat Union Primary School at Manali in dn-21, Zone-2"
MP3019643-W41077,5172454.3796921475,0.25,"Tamil Nadu, CHENNAI NORTH",91.0,9909598.18570516,0.2609820440123163,214,Tamil Nadu,22000000.0,"Construction of indoor shuttle court area with wooden flooring and formation of footpath and fixing of outdoor gym equipment at existing play field at central avenue road MKB nagar in Dn-37, Unit-9, Zone-4."
MP3019643-W213686,3561031.2865079665,0.25,"Tamil Nadu, CHENNAI NORTH",91.25,5598311.596992431,0.3180451127819548,215,Tamil Nadu,10000000.0,High End Multipara Monitor with Provision for invasive BP and End Tidal carbon dioxide monitoring and all accessories
MP3042485-W225179,2352649.7491326914,0.25,"Tripura, TRIPURA WEST",91.5,4016696.6925003743,0.2928587754118146,216,Tripura,4947401.0,"Construction of Community Hall at 79 Tilla, Kunjaban under Ward No.5, AMC, Agartala"
MP3017508-W6333,2321582.0500789145,0.25,"Madhya Pradesh, Sitting Rajya Sabha",91.75,0.0,0.6448839027996985,217,Madhya Pradesh,1200000.0,"DRAINAGE LINE CONSTRUCTION WORK IN VILLAGE BANK, BLOCK AND DISTRICT INDORE (UNDER RAU VIDHANSABHA CONSTITUENCY)"
MP3017313-W280126,2309913.349886103,0.25,"Telangana, Sitting Rajya Sabha",92.0,4712215.075853648,0.24509846353603115,218,Telangana,5000000.0,"Construction of Additional Class rooms through SAI EDUCATIONAL AND HEALTHCARE TRUST in ZP High School Inugurthy(V,M), Mahabubabad Dist."
MP3044251-W282656,9232412.65736714,1.0,"Manipur, OUTER MANIPUR(ST)",93.0,8768213.138281636,0.5264705882352945,219,Manipur,10000000.0,installation of borewell handpump with submersible pump 10 villages within Kamjong district
MP3044251-W229508,8456355.70035183,0.25,"Manipur, OUTER MANIPUR(ST)",93.25,7046963.083626526,0.6,220,Manipur,10000000.0,installing 12 borewells within ukhrul district
MP3044251-W275361,7517592.534467969,0.25,"Manipur, OUTER MANIPUR(ST)",93.5,7139613.021561754,0.5264705882352945,221,Manipur,10000000.0,Installation of borewell handpump with submersible pump 10 numbers within Kamjong District
MP3017432-W94090,2955905.9424920124,0.25,"Manipur, OUTER MANIPUR(ST)",93.75,0.0,0.30790686900958464,222,Manipur,4800000.0,"Construction of IVR incl. shingling, ring culverts from Makuilongdi to Kanem Senapati District"
MP3042341-W246454,9197720.757230934,1.0,"Haryana, KARNAL",94.75,7664767.297692445,0.6,223,Haryana,9386764.0,Construction of interlocking in Khadanja between Road from Kutani to PWD road
MP3017340-W135729,2291418.6851210827,0.25,"Uttar Pradesh, Sitting Rajya Sabha",95.0,0.0,0.08096885813148702,224,Uttar Pradesh,14150000.0,"PER L.E.D LIGHT COST 283000 AND 50 NUMBER OF COST 1,41,50,000 (AS PER LIST)"
MP3017244-W244633,2279492.305906932,0.25,"Karnataka, Sitting Rajya Sabha",95.25,4203411.878117997,0.2711478641640436,225,Karnataka,5000000.0,CONSTRUCTION OF GOVT PRIMARY SCHOOL BUILDING WORK IN TUMBADI
MP3017324-W15725,2256437.7230838323,0.25,"Uttar Pradesh, Sitting Rajya Sabha",95.5,0.0,0.09475109873088527,226,Uttar Pradesh,11907185.0,Contruction of class room in AD gov. Kanya inter college 1st floor gkp
MP3047198-W275669,2252652.275450809,0.25,"Madhya Pradesh, Sitting Rajya Sabha",95.75,2347321.9052486024,0.3198896964826011,227,Madhya Pradesh,2500000.0,Construction of Community Hall
