work_ref,audit_value,cost_days,travel_cluster,cum_days,rs_exposure,priority,visit_order,state_name,recommended_amount,work_description
MP3023812-W207351,18080019.77844502,0.25,"West Bengal, Sitting Rajya Sabha",15.0,15066683.148704184,0.6,27,West Bengal,19950000.0,seating furniture (Low and High Bench set) for Siddheswari Kokila Devi High School (H.S.) and others 21 Schools of Cooch Behar district.
MP3023812-W207350,17016680.177481502,0.25,"West Bengal, Sitting Rajya Sabha",15.25,14180566.814567918,0.6,28,West Bengal,19596140.0,Purchase of Books for Student of  7 number of  Schools and 2 numbers of Universities.
MP3017359-W262612,16534296.991747087,0.25,"West Bengal, Sitting Rajya Sabha",15.5,18451442.22652976,0.4480489055748127,29,West Bengal,20000000.0,CONSTRUCTION OF ROAD KANPUR MORE TO SAHEBGANJ BUS STAND VIA SERUA
MP3017509-W133818,46096958.58038652,1.0,"Nagaland, Sitting Rajya Sabha",16.5,0.0,0.6146261144051536,30,Nagaland,25000000.0,Prevention of Agricultural Land Erosion and Flood at Tizit River
MP3017509-W202323,25200000.0,0.25,"Nagaland, Sitting Rajya Sabha",16.75,0.0,0.6,31,Nagaland,21000000.0,Construction of Road from Chingai Ward Junction to DIC Office Mon
MP3017511-W237804,11348106.99918515,0.25,"Punjab, Sitting Rajya Sabha",17.0,11958543.089970207,0.47447698744770017,32,Punjab,19341000.0,Creation of Pond with Grey water treatment and construction of drains. At village Jhok Hari Har Block Ferozepur
MP3019225-W103447,41691937.79618533,1.0,"Uttar Pradesh, MIRZAPUR",18.0,0.0,0.22172715972021395,33,Uttar Pradesh,62677538.54,installation of semi high mast light in maximum 810 location of different gram panchayat in mirzapur district (all gram panchayat  list enclosed in letter no 357)
MP3019225-W229416,19021475.293249343,0.25,"Uttar Pradesh, MIRZAPUR",18.25,15851229.41104112,0.6,34,Uttar Pradesh,22131000.0,works recomonded in letter no 216 for jamalpur block
MP3019225-W229418,14054293.973520108,0.25,"Uttar Pradesh, MIRZAPUR",18.5,14141768.832276443,0.4969072164948458,35,Uttar Pradesh,19747300.0,recommended work in letter number 215 for narayanpur block
MP3017245-W178989,40749895.692746304,1.0,"Kerala, Sitting Rajya Sabha",19.5,19529111.214186065,0.6955410522923223,36,Kerala,30000000.0,Construction of Building for Vinoda Vinjana Vikasana Kendram (Community Hall cum Training Centre) in Peravoor GP
MP3017245-W226658,30947998.428772245,0.25,"Kerala, Sitting Rajya Sabha",19.75,25789998.690643538,0.6,37,Kerala,30000000.0,Construction of new Digital Seminar Complex at Palakkad Government Victoria College
MP3019254-W147849,37232584.38936997,1.0,"Jammu And Kashmir, Nominated Rajya Sabha",20.75,0.0,0.6055260276699513,38,Jammu And Kashmir,20496000.0,SUPPLY AND INSTALLATION OF LED SEMI HGHMAST LIGHT AT DIFFERENT BLOCKS AND VILLAGES IN DISTRICT CHANDAULI AS PER LIST ENCLOSED.
MP3019254-W191381,26244000.0,0.25,"Jammu And Kashmir, Nominated Rajya Sabha",21.0,0.0,0.6,39,Jammu And Kashmir,21870000.0,supply and installation of led semi high mast at different places at district shahjahanpur
MP3019254-W134187,19774304.26297572,0.25,"Jammu And Kashmir, Nominated Rajya Sabha",21.25,0.0,0.4961937716262961,40,Jammu And Kashmir,19925990.0,supply and installation of led light as pes enclosed list
MP3018384-W209760,36919017.11555691,1.0,"Maharashtra, SOLAPUR(SC)",22.25,0.0,0.6166736339205737,41,Maharashtra,19956000.0,"Installation of Air Source Water Hiting System 20 Nos. at Dr.Vainshpayan Smruti Government Medical Collage, Solapur"
MP3042483-W278935,32670832.530097704,1.0,"The Dadra And Nagar Haveli And Daman And Diu, DAMAN and DIU",23.25,27225693.775081422,0.6,42,The Dadra And Nagar Haveli And Daman And Diu,30000000.0,Purchase of Public Transport Bus
MP3017310-W258872,32639541.349406004,1.0,"Telangana, Sitting Rajya Sabha",24.25,27199617.79117167,0.6,43,Telangana,29495741.0,Laying of 1.2 Km Black Top Road in Gangaram Village as per the Annexure
MP3019261-W273995,12631116.10096489,0.25,"Telangana, Sitting Rajya Sabha",24.5,7649640.82666559,0.5504012709953896,44,Telangana,8000000.0,"Construction of Village Community Hall at Korem Village, Boinpalli Mandal at Rajanna Sircilla Dist."
MP3017191-W4795,7954186.449648897,0.25,"Andhra Pradesh, Sitting Rajya Sabha",24.75,0.0,0.26514004324971063,45,Andhra Pradesh,14999972.0,"Construction of B.C. Community Hall / B.C. Bhavan to Potladurthi Village of Yerraguntla Mandal, YSR District."
MP3020008-W31791,31717388.492638268,1.0,"Delhi, EAST DELHI",25.75,16541224.067153137,0.639158431562134,46,Delhi,32000000.0,Installation of CCTV Cameras
MP3020008-W158210,13331715.63743241,0.25,"Delhi, EAST DELHI",26.0,7312387.08078328,0.6077229177536172,47,Delhi,7479474.0,"Development of Park Near Kala Niketan School, Ghazipur Through Children Play Apparatus (CPA), Open Gym, Sitting Arrangement etc in W.No. 19E, Shah. South Zone, EDMC"
MP3017307-W96112,7743265.031448411,0.25,"Tamil Nadu, Sitting Rajya Sabha",26.25,11574692.316431727,0.3344911821308578,48,Tamil Nadu,20000000.0,construction of New Library Building at Thirumayam
MP3019258-W259140,7663207.98862701,0.25,"Punjab, Sitting Rajya Sabha",26.5,6386006.6571891755,0.6,49,Punjab,9998224.0,"Construction work on cremation ground in Ram Bagh, Deep Nagar, Jalandhar Cantt."
MP3017283-W210474,7504892.656018312,0.25,"Punjab, Sitting Rajya Sabha",26.75,7857686.755232871,0.4775510204081619,50,Punjab,12000000.0,"Construction of community centers and community halls, Adamwal Gari , Hoshiarpur"
MP3019225-W229414,7354653.690362844,0.25,"Uttar Pradesh, MIRZAPUR",27.0,6128878.07530237,0.6,51,Uttar Pradesh,11576000.0,works recomonded in letter no 217 for Sikhar block
MP3019436-W15911,7318378.316483536,0.25,"Lakshadweep, LAKSHADWEEP(ST)",27.25,0.0,0.3802197802197812,52,Lakshadweep,9623879.0,"Providing 750 KVA DG Set to power House, Chetlat"
MP3017304-W61773,7280272.448215911,0.25,"Tamil Nadu, Sitting Rajya Sabha",27.5,0.0,0.33161947361641786,53,Tamil Nadu,10976847.0,"Constructions Of New Indoor Ground With Galvano Aluminium Sheet Roofing In volleyball ground with multipurpose Wooden Flooring in Lady Doak Collage, Madurai"
MP3017345-W194799,29082240.0,1.0,"Uttar Pradesh, Sitting Rajya Sabha",28.5,0.0,0.6,54,Uttar Pradesh,24235200.0,Light Installation at public place
MP3017330-W180182,26678391.14816935,0.25,"Uttar Pradesh, Sitting Rajya Sabha",28.75,11152742.292630183,0.7973641653377226,55,Uttar Pradesh,25400000.0,"This money is being released for the construction of an overflow-type swimming pool at Malikhera Sports Stadium, Amroha."
MP3017340-W158166,13325473.905882364,0.25,"Uttar Pradesh, Sitting Rajya Sabha",29.0,0.0,0.3923875432525955,56,Uttar Pradesh,16979991.0,PER L.E.D LIGHT COST 283000 AND 60 NUMBER OF COST 16980000 (AS PER LIST)
MP3017330-W87442,8580333.411375094,0.25,"Uttar Pradesh, Sitting Rajya Sabha",29.25,4979718.338102541,0.5743519899992658,57,Uttar Pradesh,9495000.0,"This amount of Rs 94,95,000 is being sanctioned from my end towards the construction of a Multipurpose Indoor Stadium at Chaudhary Charan Singh Inter College, Bhatona (Block - Gulaothi) 
This amount is being sanctioned as per the updated estimate received from the district authorities"
MP3017345-W10748,8447950.750515506,0.25,"Uttar Pradesh, Sitting Rajya Sabha",29.5,0.0,0.2907216494845375,58,Uttar Pradesh,14529277.0,Please see the attached list.
MP3017340-W204743,8037574.654671328,0.25,"Uttar Pradesh, Sitting Rajya Sabha",29.75,0.0,0.23667820069204293,59,Uttar Pradesh,16979964.0,PER LIGHT COST 283000 AND 60 DIFFERENT PLACE OF COST 16980000.00 (AS PER LIST)
MP3017340-W208989,8037574.654671328,0.25,"Uttar Pradesh, Sitting Rajya Sabha",30.0,0.0,0.23667820069204293,60,Uttar Pradesh,16979964.0,PER LIGHT COST 283000 AND 60 DIFFERENT PLACE OF COST 16980000.00 (AS PER LIST)
MP3017330-W204855,7855223.763231887,0.25,"Uttar Pradesh, Sitting Rajya Sabha",30.25,19076698.712556668,0.13725686821031602,61,Uttar Pradesh,25000000.0,"This money is being released as the first installment for the construction of a wrestling stadium at Kisan Adarsh Inter College, Dankaur"
MP3017362-W262569,7225720.425984667,0.25,"West Bengal, Sitting Rajya Sabha",30.5,13616366.002440477,0.26533219012655773,62,West Bengal,15000000.0,Construction of bituminus road from near PWD road to Kheda Para FP School at Kheda Para villege
MP3019259-W221107,7157941.65790552,0.25,"Punjab, Sitting Rajya Sabha",30.75,5964951.381587934,0.6,63,Punjab,8762800.0,"MPLAD Grant of rupees 88.5 Lakh for setting up a Skill Development Centre for the local youth in Red Cross Society Building at Faridkot, the grant includes funds for Civil Works, Public Health Services, Electrical Services and Horticulture for the Skill Development Centre."
MP3020004-W164588,28341953.979157947,1.0,"Delhi, WEST DELHI",31.75,17204926.235087913,0.5491054052754778,64,Delhi,37735000.0,"Provision of 5000 Precast, RCC Benches with Back Rest at public places of your parliamentary Constituency (West Delhi) From MPLADS funds."
MP3045896-W275288,12116731.393843144,0.25,"Delhi, WEST DELHI",32.0,6005926.458469615,0.6724874992298101,65,Delhi,9000000.0,Procurement of 4 nos Sky Top Tree Pruning Machine for Najafgarh and West Zone - MCD
MP3017338-W201325,6609762.638978178,0.25,"Uttar Pradesh, Sitting Rajya Sabha",32.25,9500530.023808599,0.3478628362003975,66,Uttar Pradesh,15758410.0,Letter as per attached.
MP3017511-W237803,6443664.730913695,0.25,"Punjab, Sitting Rajya Sabha",32.5,9232828.960961482,0.34895397489539703,67,Punjab,14940000.0,Creation of Pond with Grey water treatment and construction of drains. At village Fatehgarh Sabran Block makhu.
MP3017278-W119807,25531703.263065334,1.0,"Manipur, Sitting Rajya Sabha",33.5,24549714.67602441,0.5199999999999989,68,Manipur,40000000.0,Construction of Cultural Complex at Gouranagar
MP3017278-W119811,12315257.816544758,0.25,"Manipur, Sitting Rajya Sabha",33.75,10262714.847120631,0.6,69,Manipur,19000000.0,Construction of Gallery and compound wall fencing at Thanpapat Mapal.
MP3019436-W18928,6256941.08829077,0.25,"Lakshadweep, LAKSHADWEEP(ST)",34.0,0.0,0.3603767056738105,70,Lakshadweep,8681112.0,"Procurement and installation of Direct Radiography System for Kavaratti, Agatti, Androth, Amini and Minicoy Hospitals"
MP3017511-W205908,6231510.701804402,0.25,"Punjab, Sitting Rajya Sabha",34.25,9347266.052706549,0.33333333333333526,71,Punjab,19523289.0,Installation of CCTV cameras in urban towns of Ferozepur District with CCTV Camera Go-Live Project (BSNL)
MP3042521-W274638,24923736.3904749,1.0,"Uttar Pradesh, PHULPUR",35.25,12522038.218921874,0.6634632465507359,72,Uttar Pradesh,20792000.0,Sanlagn latter ke anusar 113 Nag Highmast Light (9.00 Mitar)
MP3042521-W180308,12338219.900095362,0.25,"Uttar Pradesh, PHULPUR",35.5,0.0,0.1995565114316018,73,Uttar Pradesh,20609400.0,Phulpur Sansdiya Kshetra me suchi ke anusar block wise 215 Solar High Mast light ka work
MP3042521-W218164,10382291.212236783,0.25,"Uttar Pradesh, PHULPUR",35.75,0.0,0.49573443571403253,74,Uttar Pradesh,10471626.0,05 Solar Pawar Plant and 02 Solar highmast Light
MP3058540-W267626,6204379.760244302,0.25,"Tamil Nadu, Sitting Rajya Sabha",36.0,10370543.41840936,0.29913474684607866,75,Tamil Nadu,11200000.0,Construction of Public Swimming Pool at VOC Park Ward 83 Central Zone Coimbatore Tamil Nadu
MP3017365-W92625,5857324.737370176,0.25,"Odisha, Sitting Rajya Sabha",36.25,7875646.247077453,0.371863117870724,76,Odisha,12500000.0,"Upgradation of Auditorium Hall in Municipal High School under Jajpur Municipality in Jajpur
Assembly Constituency - BDO Jajpur"
MP3018373-W97341,23327859.737415526,1.0,"Jharkhand, CHATRA",37.25,19439883.11451294,0.6,77,Jharkhand,27500000.0,"Supply, Installation, Testing & Commissioning (SITC) for Sanitary Napkin Making Machine at various Self-Help Groups (SHGs)/Anganwadies in Chatra Parliamentary Constituency"
MP3045896-W261209,5754795.862846464,0.25,"Delhi, WEST DELHI",37.5,12793522.465368524,0.2249105310294499,78,Delhi,13836778.0,Construction of Multipurpose hall at GF and 3 rooms at 1st floor in MC Primary School Goyla Khurd in Ward no 124 Najafgarh
MP3019259-W233586,5723266.417225177,0.25,"Punjab, Sitting Rajya Sabha",37.75,0.0,0.28882046917769366,79,Punjab,9908000.0,Grant of rupees 1 crore for the procurement of 3 JCB machines for desilting sand deposited on agricultural lands and other affected areas in flood hit villages and for the purchase of 1 commercial anti mosquito fogging machine to prevent the spread of mosquito borne and other vector borne diseases.
MP3017254-W232298,22446843.706621714,1.0,"Madhya Pradesh, Sitting Rajya Sabha",38.75,12327330.44746564,0.6069668747363582,80,Madhya Pradesh,15300000.0,construction of Shed with Toilets (125X80 feet area) near  Yogshala  west side of Darana Road  in   Gram Bheswamata  Sarangpur District Rajgrah
MP3017255-W218146,10966334.689579703,0.25,"Madhya Pradesh, Sitting Rajya Sabha",39.0,16392561.710774058,0.3344911821308578,81,Madhya Pradesh,20000000.0,Development of chatrasal stadium in Panna
MP3042567-W257957,6125479.617966243,0.25,"Madhya Pradesh, Sitting Rajya Sabha",39.25,6423822.916048789,0.31785224561856107,82,Madhya Pradesh,7000000.0,Ujjain ward 46 alakhdham nagar swarg sundaram takiez ke pass manchhapurn hanuman mandir ke samne sabhamandap samudayik bhawan nirman
MP3019062-W105068,22184516.112863604,1.0,"Madhya Pradesh, SAGAR",40.25,0.0,0.7923041468879859,83,Madhya Pradesh,7000000.0,Installation of fixed garden gym equipment
MP3019091-W128804,21921618.17051235,1.0,"Maharashtra, THANE",41.25,12014869.64049944,0.6081802196343847,84,Maharashtra,18600000.0,Beautification of the island and surroundings of Masunda Lake in Thane Municipal Corporation area.
MP3018956-W86982,21067193.274704084,1.0,"Assam, Diphu (ST)",42.25,17555994.395586737,0.6,85,Assam,25000000.0,"Purchase of School Furniture (Desk & Bench) in 7 (Seven) Education Blocks of Karbi Anglong @Rs. 10, 500/- per pair"
MP3019173-W239391,20977832.713141084,1.0,"Telangana, HYDERABAD",43.25,11648115.129967801,0.6003212387891028,86,Telangana,12522210.0,"Laying of 600 mm dia RCC Np3 sewer main pipe line from Seven Heaven Hotel, Fish Market to Sulabh Complex under ADMHO Office, Kosalwadi, Gowliguda in Goshamahal Assembly Constituency"
MP3042571-W267218,5171090.466412852,0.25,"West Bengal, Sitting Rajya Sabha",43.5,9447892.23679179,0.27366370915386273,87,West Bengal,10000000.0,Construction of Minority Cultural and Development Centre(MCDC)
MP3032002-W266761,5082617.086815878,0.25,"West Bengal, Sitting Rajya Sabha",43.75,9445589.666272791,0.269047103801486,88,West Bengal,10000000.0,Construction of Murshidabad Hazarduari University and Historic Excellence Centre
MP3042566-W278153,4895104.677676991,0.25,"Karnataka, Sitting Rajya Sabha",44.0,4866343.533132903,0.502955108321912,89,Karnataka,5100000.0,Construction of Community Hall (Muslim Shadi Mahal)
MP3044073-W253468,19421628.727381412,1.0,"Karnataka, Nominated Rajya Sabha",45.0,16184690.606151177,0.6,90,Karnataka,20000000.0,construction of sports hostel for boys
MP3044073-W147448,8405484.703594781,0.25,"Karnataka, Nominated Rajya Sabha",45.25,12067911.294483356,0.3482576437,91,Karnataka,16548000.0,Construction of additional rooms at district civil hospital
MP3017345-W136216,4852832.989690768,0.25,"Uttar Pradesh, Sitting Rajya Sabha",45.5,0.0,0.18762886597938322,92,Uttar Pradesh,12932000.0,Please see the attached documents.
MP3059270-W242262,4822680.431760807,0.25,"Tamil Nadu, Sitting Rajya Sabha",45.75,8794746.652182814,0.2741796109933332,93,Tamil Nadu,11500000.0,Construction of Retaining wall at Eastern Side including approach road to the Northern side of Edapalayam Lake adjacent to Cuddalore-Chittoor road
MP3042348-W166162,19019848.896725915,1.0,"Jammu And Kashmir, ANANTNAG",46.75,9599731.603465179,0.6604298843056678,94,Jammu And Kashmir,15000000.0,please release one crore and fifty lakh from my MPLADS for the construction of Sarai for the attendents of poor patients at GMC Anantnag phase 1
MP3042348-W201278,16633021.900771001,0.25,"Jammu And Kashmir, ANANTNAG",47.0,13860851.583975835,0.6,95,Jammu And Kashmir,20000000.0,please release two crore rupees for the construction of Sarai for the attendents of poor patients at GMC and Associated hospitals at Rajouri
